month,timestamp_date,n_samples,P_best_final,N_conv_98,T_conv_98_seconds,duty_std_after_conv,P_ripple_after_conv,mean_abs_error,std_abs_error
Aug_2022,20220801,4193,16384.0,4095,67450.0,0.9075158974611687,4746.951448541208,3.7228714524207014,14.709868881677796
Aug_2022,20220802,4614,1343.0,3001,49420.0,0.9444487302509749,404.5415788687006,4.621803207628956,18.524730200583306
Aug_2022,20220803,5033,1250.0,1875,39930.0,0.9007342038397099,476.2056964470008,2.172263063779058,10.573138866279619
Aug_2022,20220804,4892,1312.0,2732,47020.0,0.9322691647534344,303.7119479618806,3.578495502861815,15.525872627975893
Aug_2022,20220805,3454,16384.0,458,25310.0,0.8970605877900782,1490.0117087765532,2.5567458019687317,10.475937121059047
Aug_2022,20220806,3974,16384.0,3739,65840.0,0.8971069461808772,7145.789628221781,2.8366884750880725,12.976532195578583
Aug_2022,20220807,4749,16384.0,4654,76920.0,0.9094501987760252,8016.532657392006,6.0593809222994315,21.91716452454802
Aug_2022,20220808,4934,16384.0,36,10900.0,0.9423911992548805,1430.5170519361614,6.622010539116336,22.99947579433939
Aug_2022,20220809,4601,16384.0,12,800.0,0.9402207868889644,2603.712503866526,6.717235383612258,23.16514024223016
Aug_2022,20220810,3865,1374.0,1953,42930.0,0.9292752908490423,436.9446847657153,5.833893919793014,21.51163294452771
Aug_2022,20220811,4542,1281.0,1999,19990.0,0.9069020208042103,441.79007933984735,3.7611184500220167,15.946272194434073
Aug_2022,20220812,4378,1562.0,1478,39000.0,0.9351696274799088,490.77008116360525,5.814984010963911,21.054560675938355
Aug_2022,20220813,4671,1562.0,2525,25350.0,0.9439039737411676,321.5186278128893,4.87197602226504,17.769409520370584
Aug_2022,20220814,4627,1468.0,1212,33460.0,0.9340085929439287,462.0244413371638,6.665009725524098,23.108331339980456
Aug_2022,20220815,4703,1343.0,2523,25960.0,0.9398792372533,413.18704648422994,4.943440357218797,18.822634473160573
Aug_2022,20220816,4950,1250.0,2078,42550.0,0.9038475621398107,492.5361350591008,3.2652525252525253,14.424885909027182
Aug_2022,20220817,5382,1250.0,2153,41050.0,0.9190333877753949,514.2935904830189,4.390561129691564,17.44430722029669
Aug_2022,20220818,5062,1374.0,2062,42040.0,0.9308523249720428,483.8747092564095,5.041090478071908,19.330328990622654
Aug_2022,20220819,4857,1218.0,2099,42090.0,0.9135371324769708,521.7386750963933,3.5311920938851142,15.114469351326711
Aug_2022,20220820,4563,1250.0,1949,19490.0,0.9064763009416626,457.9636426740953,3.845934692088538,15.069753728631103
Aug_2022,20220821,4733,1375.0,2283,44270.0,0.9119881590861332,346.53390178277067,4.0283118529473905,15.870834603130918
Aug_2022,20220822,4591,1468.0,2018,20870.0,0.9232735060872292,470.58319520499697,4.899586146808974,18.728415080275806
Aug_2022,20220823,4804,1593.0,2482,46600.0,0.957417853694455,355.58747231402657,6.537885095753539,22.530947116219906
Aug_2022,20220824,4430,1593.0,1503,36720.0,0.963858850045828,400.61926871476794,9.51918735891648,27.830738073724643
Aug_2022,20220825,4478,1593.0,2192,43470.0,0.9418095824245388,412.46817707486224,7.61835640911121,24.688448578443463
Aug_2022,20220826,4604,1531.0,2428,45590.0,0.9465819394823451,415.0576907366268,6.733927019982624,23.276269434597516
Aug_2022,20220827,4634,1500.0,2046,42150.0,0.9208009251620535,471.558938979636,5.397065170479068,19.901296479694484
Aug_2022,20220828,4618,1343.0,1542,36910.0,0.9411536767542813,464.5524875983458,5.557384148982243,20.909332688038344
Aug_2022,20220829,4705,1593.0,1640,38170.0,0.9458542587154799,454.4237903353729,5.866950053134963,21.413579630408677
Aug_2022,20220830,4783,1218.0,1840,40210.0,0.9116786525645916,466.82450220918025,3.3303366088229143,14.165583407483599
Aug_2022,20220831,4837,1281.0,2083,42620.0,0.9161976853095118,437.12894663271425,3.385362828199297,14.419205925499776
