month,timestamp_date,n_samples,P_best_final,N_conv_98,T_conv_98_seconds,duty_std_after_conv,P_ripple_after_conv,mean_abs_error,std_abs_error
Jun_2022,20220601,2107,62.0,1144,31730.0,3.3024390688247474,6.334545712847262,1.6378737541528239,5.282013490333929
Jun_2022,20220602,2052,31.0,0,0.0,0.7852902826156525,0.0,1.9795321637426901,4.2531509729690375
Jun_2022,20220603,3128,62.0,1235,26000.0,0.7900623600101323,11.664789558108941,2.40153452685422,8.306944795205705
Jun_2022,20220604,4742,1312.0,1364,18880.0,0.8115115804782957,506.09013156681056,2.9592998734711093,13.905556825439168
Jun_2022,20220605,4002,16384.0,136,6440.0,0.8180306381211419,912.522897774455,4.677161419290355,18.30086043783842
Jun_2022,20220606,4676,1281.0,1728,17380.0,0.8083668741149005,500.72831029157516,3.0988023952095807,14.165683874594784
Jun_2022,20220607,3960,1374.0,2069,51280.0,0.8240438984216021,352.1444196325961,3.2414141414141415,13.564987769078463
Jun_2022,20220608,5301,1281.0,2014,40860.0,0.8175944121270119,496.09067875346614,3.3210714959441616,14.340150365740842
Jun_2022,20220609,5492,1281.0,2081,40200.0,0.8073712270611908,491.2918025197589,3.284231609613984,13.657139135409714
Jun_2022,20220610,5942,1281.0,2094,40300.0,0.7973269981804559,501.3081926131435,3.021541568495456,12.434979810529386
Jun_2022,20220611,5815,1281.0,2648,43500.0,0.811503330662605,485.01624668924626,3.9112639724849525,16.25785625342303
Jun_2022,20220612,5579,1437.0,2147,40990.0,0.8277228094845649,447.3283213199377,6.845671267252196,22.847617972102082
Jun_2022,20220613,5284,1343.0,2948,48320.0,0.8409612341984262,444.0555871745053,6.843679031037093,22.073650567610347
Jun_2022,20220614,4788,1375.0,3148,50720.0,0.8732010630032503,336.3989656315287,5.404344193817878,19.95073936420281
Jun_2022,20220615,5199,1312.0,3405,53610.0,0.8149921740115711,312.9031500675548,4.030582804385459,16.1331162771089
Jun_2022,20220616,5005,1406.0,2590,45230.0,0.855106237496009,487.4876589909742,4.346853146853147,17.32268778734035
Jun_2022,20220617,5324,1468.0,1614,16840.0,0.8243700890434569,507.51817530631894,5.2548835462058605,19.151585523713226
Jun_2022,20220618,5622,1312.0,1632,36820.0,0.7973211254242444,510.3538747488141,3.0012451085023124,12.613653331287493
Jun_2022,20220619,5360,1374.0,2324,43140.0,0.8128064017876859,495.73993553977243,3.8669776119402983,15.457434858742323
Jun_2022,20220620,5079,1343.0,2042,20420.0,0.8035305528028411,491.61220459542864,3.793857058476078,14.726301502928177
Jun_2022,20220621,5339,1531.0,2815,45640.0,0.8268408206415772,443.1080464833288,6.7668102640944,22.827725146520407
Jun_2022,20220622,5327,1562.0,2307,23520.0,0.8706181571471966,465.2213160792927,7.652712596207997,25.093147979790643
Jun_2022,20220623,5206,1312.0,1996,20530.0,0.8024786761766111,499.47847091759195,3.1661544371878603,13.031044557875022
Jun_2022,20220624,5311,1500.0,1512,35130.0,0.8363622806067909,515.6063128867909,7.556580681604218,24.527292717346654
Jun_2022,20220625,5521,1374.0,2342,43320.0,0.7976752701615392,503.2668932279073,5.1865604057236006,18.962662793346016
Jun_2022,20220626,5450,1250.0,1971,40150.0,0.7978398619765461,489.276865705476,3.1790825688073396,12.82513085860156
Jun_2022,20220627,5903,1250.0,2140,41580.0,0.819378508444118,500.67620520773784,3.5944435033034052,14.85977092326981
Jun_2022,20220628,6048,1562.0,2753,40310.0,0.8179145499120872,393.5059964106488,3.794973544973545,16.21425999196732
Jun_2022,20220629,5539,1250.0,2375,42470.0,0.8136690342502468,485.5826631947177,3.062285611121141,12.965155342811329
Jun_2022,20220630,4816,1218.0,2230,41050.0,0.7989415472222098,494.0807778121086,2.928156146179402,13.794600219969423
