month,timestamp_date,n_samples,P_best_final,N_conv_98,T_conv_98_seconds,duty_std_after_conv,P_ripple_after_conv,mean_abs_error,std_abs_error
Mar_2023,20230301,3604,1437.0,1287,14840.0,0.45428889661407035,247.75488489430646,1.8917869034406216,12.180548013153318
Mar_2023,20230302,3891,1593.0,1728,18730.0,0.5401829225906134,469.66657792208014,4.179131328707273,18.86854910594527
Mar_2023,20230303,3947,1562.0,1871,19320.0,0.594692772333068,336.4972818535126,5.8018748416518875,22.20463658771386
Mar_2023,20230304,4495,16384.0,3935,45540.0,0.4476134289240333,0.0,3.117908787541713,15.583185542061623
Mar_2023,20230305,3891,16384.0,0,0.0,0.46226517786627863,1351.6295563220322,1.5777435106656386,9.22335295539815
Mar_2023,20230306,3982,1312.0,2428,24970.0,0.49065568039024116,268.1239617552661,4.751632345554998,20.14937538504292
Mar_2023,20230307,4081,1593.0,1963,20220.0,0.515068105466979,452.83026311264564,5.673119333496692,21.725019129433154
Mar_2023,20230308,3876,1500.0,1907,20670.0,0.4657020326698083,229.8786268674026,2.224974200206398,12.485613114222458
Mar_2023,20230309,4028,1343.0,1761,18080.0,0.4509832930424063,430.79269522201093,1.2810327706057596,7.531044447501583
Mar_2023,20230310,4044,1281.0,1659,17160.0,0.4711600845852449,422.02330997026667,2.659742828882295,12.664293114585787
Mar_2023,20230311,3277,1375.0,968,9680.0,0.4752574142115172,456.3156457703982,2.3457430576747025,11.0538872260837
Mar_2023,20230312,4036,1343.0,1772,18360.0,0.47132161292253416,430.5279203097519,3.072844400396432,12.66701151046552
Mar_2023,20230313,3915,1406.0,1466,15440.0,0.5263432144278747,464.7424399507147,6.381864623243934,21.854024653563744
Mar_2023,20230314,3649,1499.0,2377,25170.0,0.49989731192199255,343.56848409727303,7.338996985475473,24.522812400919754
Mar_2023,20230315,4082,1593.0,1567,16120.0,0.5228737979294835,456.1291474247575,8.531112199902008,26.371883574398044
Mar_2023,20230316,4090,1375.0,1842,19110.0,0.4600099479993547,437.46312981150896,1.7462102689486552,9.105728879383543
Mar_2023,20230317,4081,1343.0,1666,17530.0,0.5235733019252717,434.0325897307176,7.515559911786327,24.867488332500717
Mar_2023,20230318,4101,1437.0,1928,20070.0,0.46887704884975295,457.63012315578834,2.525237746891002,11.988069657801118
Mar_2023,20230319,4098,1375.0,1949,20360.0,0.4694968862608465,428.5634905033531,2.8438262567105905,11.79575645498001
Mar_2023,20230320,4223,1343.0,1781,18570.0,0.48401304206314916,481.5731931513397,3.153208619464835,14.020944896457054
Mar_2023,20230321,4289,1312.0,1848,19140.0,0.4782107301681291,472.86705669198886,2.8419211937514572,12.741060139263645
Mar_2023,20230322,4138,1562.0,1915,19900.0,0.5672183240199544,454.4014618421886,5.423876268728854,21.812861980817893
Mar_2023,20230323,4238,1312.0,1783,18540.0,0.50566154824058,459.88499887841675,2.9851344974044363,15.256102316399291
Mar_2023,20230324,4169,1375.0,1820,18900.0,0.46167766478656214,447.6725013891978,2.7493403693931397,12.13882293459822
Mar_2023,20230325,4151,1312.0,1790,18710.0,0.473861082507962,509.9389384702889,2.564442303059504,11.69630269748987
Mar_2023,20230326,4209,1593.0,1967,20340.0,0.5315621537432642,341.6341467890131,8.240674744594916,26.138956677698598
Mar_2023,20230327,4204,1593.0,1466,15860.0,0.5390676988700996,508.83790980277786,6.024738344433873,22.19985481800638
Mar_2023,20230328,4169,1406.0,1887,19740.0,0.481743518841942,456.6151215258657,3.0930678819860877,14.780186340780132
Mar_2023,20230329,4231,1343.0,2020,21090.0,0.45876303197461293,442.88378192791686,1.731505554242496,10.311610549760578
Mar_2023,20230330,4324,1374.0,2093,21610.0,0.548386560901672,313.87255201609116,5.284690101757632,20.93626552382035
Mar_2023,20230331,4384,1375.0,1897,19870.0,0.47809982402989937,514.7974652635368,3.6204379562043796,15.31353369126215
