month,timestamp_date,n_samples,P_best_final,N_conv_98,T_conv_98_seconds,duty_std_after_conv,P_ripple_after_conv,mean_abs_error,std_abs_error
Oct_2022,20221001,4031,16384.0,0,0.0,5.538099399963392,670.5011489919991,3.5293971719176382,14.219916365714761
Oct_2022,20221002,4069,16384.0,3843,38730.0,4.6366756476970545,1087.1087876314525,2.801425411649054,12.555907929194298
Oct_2022,20221003,4005,1250.0,1727,17880.0,4.599696494139787,415.1678368479875,2.577028714107366,11.092377149628245
Oct_2022,20221004,3967,1343.0,1732,17330.0,4.610710338663398,428.63553355796483,3.301235190320141,13.515507463422873
Oct_2022,20221005,4012,1312.0,1809,18620.0,4.58432308206756,432.6140814645473,1.6405782652043868,9.40278121910251
Oct_2022,20221006,3996,1281.0,1861,19530.0,4.567647718835377,418.6691005209633,1.684934934934935,9.764336183127977
Oct_2022,20221007,4004,1250.0,1861,19150.0,4.595066856553426,415.98029106876066,3.1046453546453545,13.625034210275492
Oct_2022,20221008,3986,16384.0,0,0.0,4.604538429833648,1651.2027285928418,5.4405418966382335,20.55708707395088
Oct_2022,20221009,3774,1249.0,1795,18530.0,4.639134839349594,418.26601541288534,3.710916799152093,15.370756879096016
Oct_2022,20221010,3928,1531.0,2445,25160.0,4.617841874585791,435.232966698845,4.992107942973523,18.736337899057077
Oct_2022,20221011,3953,16384.0,0,0.0,4.574444208819358,1626.9365075371002,1.7829496584872249,10.50339460751232
Oct_2022,20221012,3887,1218.0,1654,17210.0,4.586553598073157,394.5683401549188,1.4589657833804992,9.083860530724218
Oct_2022,20221013,3810,1218.0,2095,21020.0,4.604928616304514,410.21734844911674,2.693175853018373,13.471227202635225
Oct_2022,20221014,3825,1468.0,1999,19990.0,4.58768910522514,398.96123361182623,3.5584313725490198,15.090913391668224
Oct_2022,20221015,3567,1218.0,1612,16830.0,4.622214980325715,420.3740655203195,3.500420521446594,15.216310482588375
Oct_2022,20221016,3683,16384.0,0,0.0,4.641882525648555,602.2552028157384,6.117295682867228,21.495684598210325
Oct_2022,20221017,3790,16384.0,3679,38060.0,4.631162472605107,6957.220077825783,2.759630606860158,12.192374855380164
Oct_2022,20221018,3745,1281.0,1764,18560.0,4.6012716563025355,462.39645098147815,2.0913217623498,10.255402578147326
Oct_2022,20221019,3711,968.0,2629,27220.0,4.584665434228523,298.293489086902,2.7270277553220157,12.183043307653332
Oct_2022,20221020,3692,1187.0,1595,16990.0,4.605907348799396,370.8108259748551,2.618905742145179,12.842150698576202
Oct_2022,20221021,3668,1187.0,1566,16510.0,4.602530505908074,365.26537960605475,2.5229007633587788,11.384557406897063
Oct_2022,20221022,3651,1156.0,1627,17360.0,4.603340414061166,362.55395996166254,2.3689400164338537,11.432015100571233
Oct_2022,20221023,3641,1156.0,1577,16810.0,4.617503552778548,360.90624518330696,3.7206811315572645,16.05193265477758
Oct_2022,20221024,3619,16384.0,2685,27740.0,4.652655856596104,2288.8301319132356,3.6034816247582206,17.113447721173607
Oct_2022,20221025,3167,16384.0,167,1670.0,4.624099983323689,586.6919569246768,5.558257025576255,21.29964752539039
Oct_2022,20221026,3500,16384.0,165,2240.0,4.624759736389147,448.66900298806354,5.9631428571428575,21.460320799075877
Oct_2022,20221027,3520,1156.0,1648,17960.0,4.587509668177324,357.52193926451827,2.1568181818181817,11.76265996574042
Oct_2022,20221028,3488,1562.0,1445,14600.0,4.614271302455938,334.2314254842408,7.258314220183486,24.988877703048885
Oct_2022,20221029,3391,1312.0,1338,16260.0,4.64866738346319,300.1484596922922,5.962547920967267,22.03092653003206
Oct_2022,20221030,3463,1468.0,2124,23410.0,4.633700368297602,363.9467398761411,7.285879295408606,24.613083201275092
Oct_2022,20221031,3417,1187.0,1411,15610.0,4.592083549271061,349.56863140049325,2.3166520339479075,11.197311990545012
