month,n_days,P_best_final_mean,P_best_final_std,N_conv_98_mean,N_conv_98_std,T_conv_98_seconds_mean,T_conv_98_seconds_std,duty_std_after_conv_mean,duty_std_after_conv_std,P_ripple_after_conv_mean,P_ripple_after_conv_std,mean_abs_error_mean,mean_abs_error_std,std_abs_error_mean,std_abs_error_std
Apr_2023,30,1509.8666666666666,96.34984148416119,2098.733333333333,389.7244767987917,21998.333333333332,3897.2581726603407,0.6544057858267486,0.03322500251941571,443.8927167086369,76.53706112456125,5.760785297915791,1.9078069315500854,20.64413074336081,4.370806801370772
Aug_2022,31,4297.709677419355,6020.147020317407,2086.7741935483873,976.5310614509376,38550.967741935485,15560.62602743191,0.9262805889,0.018403124461645638,1172.5791711957286,1924.6488744967562,4.95891291763518,1.651943064797426,18.522551542584033,4.255679994073767
Dec_2022,31,2937.3548387096776,5274.953469294853,1252.225806451613,689.5836284636993,17059.032258064515,10838.577506554602,0.6072476737597999,0.16318943447193834,312.37779255011196,222.9678204352196,2.4814681797837332,1.679733872807036,11.55283622433282,5.56590059620754
Feb_2023,28,2911.25,4757.97954804659,1542.6785714285713,512.1252779003886,16632.5,5148.751466779754,0.681742933227416,0.025916099366275525,728.4708681813042,1433.3161099428694,3.324082182489801,1.3964635500565483,15.303119725737458,4.670613604174056
Jan_2023,24,1740.8333333333333,3120.6892029565,1339.4583333333333,440.8888235260052,15885.0,4052.691000782824,0.6687153900438383,0.013858526448562655,674.6259379832969,1523.4850321924018,2.199998461988016,1.109692881999239,11.332579212400624,3.7098589790138403
Jul_2022,31,2416.5806451612902,3730.621670930048,2273.7741935483873,822.3467520730907,36865.48387096774,14353.63155876349,0.6674974141964544,0.019431247075281377,597.1659729740297,709.0174644179626,4.69531893931652,1.5876714670091798,18.15487042308351,3.8798144079083174
Jul_2023,31,1389.7096774193549,117.40618767009602,2362.3870967741937,556.0110117266477,39594.83870967742,9346.83613884675,0.46658499073476895,0.02711602684665531,438.1064407154662,67.09717884882258,4.234256264451576,1.1054630319499492,16.89348373524103,3.1137793403017624
Jun_2022,30,1726.9666666666667,2798.1824332743313,2026.8,755.1141224550329,34878.666666666664,13603.219885908182,0.9001757021469567,0.45420807840668126,436.21311454708143,174.8880129558856,4.12698601494489,1.620662104825583,15.661563381569879,4.9764488910858855
Jun_2023,30,66.13333333333334,17.71174037542434,1252.3333333333333,535.5408695781356,35149.333333333336,16199.318404846828,1.163694209208389,0.21876429262658362,12.243368097090405,5.259034553469353,2.645914309960049,0.2783648217252117,9.041398248777917,2.028037099210042
Mar_2023,31,2388.2258064516127,3737.613951080532,1817.4516129032259,579.4658367099638,19149.677419354837,6591.0158467775755,0.494146068099329,0.037424332664964984,436.23062117491634,200.21807698596768,3.9733348431227102,2.0859618337058907,16.264154279080916,5.6055458718432405
May_2022,31,1245.4516129032259,544.5160443739423,1800.0967741935483,694.0509757858189,21958.387096774193,10511.140469924976,0.4735913525617439,0.045794832204650554,416.1541287645887,189.7213375673249,4.724898827586431,2.36300836000738,16.671829235590053,7.2006651960585835
May_2023,29,137.58620689655172,356.1428803605754,583.2758620689655,802.0994281327205,11812.413793103447,15597.279445735861,0.42349191885212645,0.023479216103385273,31.356240571751517,108.43453151343746,2.249572356521802,0.9245847311443812,6.056379613505561,3.7920784096237132
Nov_2022,30,1657.1333333333334,2793.846646660742,1473.2,281.59133999223184,16360.333333333334,2750.238213298088,0.6229580179694536,0.02239956408408522,323.3422832639368,96.20806301028671,3.059021966453525,1.5229161453531284,14.057194555711543,4.854262289288063
Oct_2022,31,5658.5161290322585,6974.397894542428,1608.1612903225807,961.7245307874182,16805.8064516129,9840.274309927729,4.639857320927189,0.16814160850335408,788.1853517755153,1233.312663042499,3.5744694029394024,1.6633448654177159,14.98416726529655,4.661223377364458
Sep_2022,30,5375.933333333333,6752.688118296927,1516.3666666666666,945.6347433423182,24098.0,17117.38064074057,0.736863211363132,0.13991927077429592,522.5631672261276,608.9478620359248,3.89422036680463,1.6395716935947073,15.841017536930991,4.244156039134917
