month,timestamp_date,n_samples,P_best_final,N_conv_98,T_conv_98_seconds,duty_converged,N_conv_duty_stable,T_conv_duty_stable_seconds,duty_mean,duty_std,duty_min,duty_max,duty_range,duty_step_mean,duty_step_max,duty_mean_after_stable,duty_std_after_stable,duty_step_mean_after_stable,duty_range_after_stable,duty_final_mean,duty_final_std,duty_final_range,duty_final_step_mean,duty_saturation_percent,duty_saturation_after_stable_percent,gbest_consistency_violations,gbest_monotonic_violations,stability_score,duty_std_after_conv,P_ripple_after_conv,error_mean,mean_abs_error,max_abs_error,error_saturation_percent,delta_e_mean,mean_abs_delta_e,max_abs_delta_e,delta_e_saturation_percent,std_abs_error
Aug_2022,20220801,4193,16383.0,4095,67450.0,0,-1,-1.0,41.294538516575244,19.73964148187657,6.0,76.0,70.0,0.10779871213927975,1.0,65.215,11.012043429923102,0.19,33.0,65.215,11.012043429923102,33.0,0.19,0.0,0.0,0,0,3.9212543996636717,1.9991582491209652,4753.539850085816,-0.001669449081803005,0.005485332697352731,6.0,0.0,0.0,0.01001669449081803,6.0,0.0,0.1244010817410743
Aug_2022,20220802,4614,344.0,3001,49420.0,0,-1,-1.0,34.87126137841352,12.488030508216863,0.0,60.0,60.0,0.11898569570871262,1.0,48.015,4.626206212394557,0.065,13.0,48.015,4.626206212394557,13.0,0.065,0.3250975292587776,0.0,0,0,5.885397349074199,6.943772647469584,103.45914791306842,0.007152145643693108,0.01928912006935414,9.0,0.0,0.0,0.03684438664932813,9.0,0.0,0.2663607164807893
Aug_2022,20220803,5033,320.0,1875,39930.0,0,-1,-1.0,51.20186767335585,9.33013671931377,25.0,71.0,46.0,0.08146234849990065,1.0,48.5,5.115745719966619,0.095,19.0,48.5,5.115745719966619,19.0,0.095,0.0,0.0,0,0,5.521583790431812,10.96678703173832,121.89612851178548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aug_2022,20220804,4892,335.0,2732,47020.0,0,-1,-1.0,29.28904333605887,25.64185367978526,0.0,67.0,67.0,0.08197056418642681,1.0,4.32,4.474113145888362,0.06,12.0,4.32,4.474113145888362,12.0,0.06,16.271463614063777,32.0,0,0,3.054917038818897,3.0053329148959302,77.65787136281577,0.0008176614881439084,0.0024529844644317253,2.0,0.0,0.0,0.004905968928863451,2.0,0.0,0.053445130405892036
Aug_2022,20220805,3454,16383.0,458,25310.0,0,-1,-1.0,50.45628257093225,8.812834851179542,33.0,68.0,35.0,0.061088592935726695,1.0,64.64,1.6565387417790973,0.035,4.0,64.64,1.6565387417790973,4.0,0.035,0.0,0.0,0,0,7.638521488758955,9.37255648814982,1488.897545262332,0.0052113491603937466,0.0052113491603937466,9.0,0.0,0.0,0.010422698320787493,9.0,0.0,0.20555998524533192
Aug_2022,20220806,3974,16383.0,3739,65840.0,0,-1,-1.0,81.01207851031707,17.657574497465035,40.0,100.0,60.0,0.07096124811273276,1.0,92.435,1.3803265945194596,0.03,5.0,92.435,1.3803265945194596,5.0,0.03,7.171615500754906,0.0,0,0,7.745737434903532,1.2887810277748049,7155.662692403033,0.009058882737795673,0.010568696527428284,19.0,0.0,0.0,0.018117765475591345,19.0,0.0,0.3474244942372879
Aug_2022,20220807,4749,16383.0,4654,76920.0,0,-1,-1.0,27.714255632764793,8.033250782380458,1.0,49.0,48.0,0.11665613813434407,1.0,25.805,1.5521018331612502,0.075,5.0,25.805,1.5521018331612502,5.0,0.075,0.0,0.0,0,0,7.6178277026375545,1.2696826630893283,8027.435785788686,0.05137923773425984,0.07454200884396715,15.0,0.0,0.0,0.1351863550221099,15.0,0.0,0.6898609997699755
Aug_2022,20220808,4934,16383.0,36,10900.0,0,-1,-1.0,40.8946088366437,6.7859335765525355,17.0,57.0,40.0,0.12038913660316174,1.0,21.89,5.118485564340473,0.06,12.0,21.89,5.118485564340473,12.0,0.06,0.0,0.0,0,0,5.754241336494449,6.7750203063865495,1390.6358731352022,0.1272800972841508,0.16822051074179165,17.0,0.0,0.0,0.28617754357519254,20.0,0.0,1.2389693289959378
Aug_2022,20220809,4601,16383.0,12,800.0,0,-1,-1.0,39.72006085633558,19.292200712830088,0.0,74.0,74.0,0.11540969354488155,1.0,10.115,1.7077344008713995,0.04,4.0,10.115,1.7077344008713995,4.0,0.04,1.0867202782003913,0.0,0,0,7.605873145214452,19.311567656256074,2652.3124646548126,0.06063899152358183,0.07715713975222778,13.0,0.0,0.0,0.14040425994349054,14.0,0.0,0.6842338170455234
Aug_2022,20220810,3865,352.0,1953,42930.0,0,-1,-1.0,55.934023285899094,12.107889048451119,34.0,92.0,58.0,0.10815006468305303,1.0,44.71,1.6672729215622963,0.065,8.0,44.71,1.6672729215622963,8.0,0.065,0.0,0.0,0,0,7.389741588839833,7.599750864535979,111.64865557506744,0.018111254851228976,0.024320827943078913,7.0,0.0,0.0,0.04346701164294955,7.0,0.0,0.25319584753392793
Aug_2022,20220811,4542,328.0,1999,19990.0,0,-1,-1.0,80.26948480845442,11.492902078805358,49.0,100.0,51.0,0.09973579920739763,1.0,70.605,5.1596594293747415,0.075,14.0,70.605,5.1596594293747415,14.0,0.075,4.975781594011449,0.0,0,0,5.670651049456962,8.960737686848049,113.06920349861343,0.003963011889035667,0.009687362395420519,4.0,0.0,0.0,0.018494055482166448,4.0,0.0,0.13237597691156183
