month,timestamp_date,n_samples,P_best_final,N_conv_98,T_conv_98_seconds,duty_converged,N_conv_duty_stable,T_conv_duty_stable_seconds,duty_mean,duty_std,duty_min,duty_max,duty_range,duty_step_mean,duty_step_max,duty_mean_after_stable,duty_std_after_stable,duty_step_mean_after_stable,duty_range_after_stable,duty_final_mean,duty_final_std,duty_final_range,duty_final_step_mean,duty_saturation_percent,duty_saturation_after_stable_percent,gbest_consistency_violations,gbest_monotonic_violations,stability_score,duty_std_after_conv,P_ripple_after_conv,error_mean,mean_abs_error,max_abs_error,error_saturation_percent,delta_e_mean,mean_abs_delta_e,max_abs_delta_e,delta_e_saturation_percent,std_abs_error
Feb_2023,20230201,3405,16383.0,862,9920.0,0,-1,-1.0,15.059324522760646,14.549785034476347,0.0,53.0,53.0,0.09309838472834067,2.0,0.13,0.5519267302621692,0.015,3.0,0.13,0.5519267302621692,3.0,0.015,20.469897209985316,93.5,0,0,1.7059918623876433,8.176159291459937,1669.384745027148,0.021732745961820853,0.12393538913362702,15.0,0.0,0.0,0.1985315712187959,15.0,0.0,0.8389215955813676
Feb_2023,20230202,3468,296.0,1468,16590.0,0,-1,-1.0,8.959919261822376,14.087384672674014,0.0,46.0,46.0,0.025374855824682813,1.0,44.86,1.5238143096359396,0.02,4.0,44.86,1.5238143096359396,4.0,0.02,37.80276816608997,0.0,0,0,7.7256979749435715,15.856995495776511,102.43749743228841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feb_2023,20230203,3290,16383.0,510,6180.0,1,3052,32320.0,43.570516717325226,11.61388727598746,15.0,68.0,53.0,0.07051671732522796,1.0,15.021008403361344,0.19373040103070024,0.008403361344537815,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0,71.31987167229917,12.231460003084145,8012.284977622422,0.00911854103343465,0.01702127659574468,5.0,0.0,0.0,0.030395136778115502,8.0,0.0,0.20854853801018058
Feb_2023,20230204,3301,408.0,1034,12850.0,0,-1,-1.0,3.84822780975462,4.087562885539317,0.0,15.0,15.0,0.0757346258709482,1.0,0.36,1.0027098960708385,0.025,4.0,0.36,1.0027098960708385,4.0,0.025,29.082096334444106,88.0,0,0,1.7721789557680274,4.038482764554708,97.70740738554997,0.04271432899121479,0.0754316873674644,10.0,0.0,0.0,0.13147531051196606,15.0,0.0,0.6050838934685011
Feb_2023,20230205,3264,119.0,993,11540.0,0,-1,-1.0,23.080575980392158,20.825941298990912,0.0,61.0,61.0,0.07383578431372549,1.0,5.275,0.9560045625508751,0.02,4.0,5.275,0.9560045625508751,4.0,0.02,5.238970588235294,0.0,0,0,8.080152160140166,22.488618518276855,24.4562703205315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feb_2023,20230206,3108,248.0,1443,17960.0,0,-1,-1.0,4.97039897039897,4.954549677389611,0.0,17.0,17.0,0.0546975546975547,1.0,4.185,2.030118693462956,0.03,6.0,4.185,2.030118693462956,6.0,0.03,29.954954954954953,9.0,0,0,5.506571938651299,4.916535038819696,43.07255207877887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feb_2023,20230207,3727,407.0,1609,17260.0,1,3153,32700.0,27.56318755030856,11.533363925986604,0.0,42.0,42.0,0.06627314193721492,1.0,36.069686411149824,0.9537402659312707,0.010452961672473868,2.0,35.41,0.651168258211741,2.0,0.01,3.863697343708076,0.0,0,0,46.20659501403338,3.7810748312052267,75.58433865482787,0.04239334585457472,0.05956533404883284,17.0,0.0,0.0,0.10195867990340757,17.0,0.0,0.6652110711246837
Feb_2023,20230208,3617,375.0,1555,16460.0,0,-1,-1.0,29.02267072159248,3.613983909974809,22.0,37.0,15.0,0.048106165330384296,1.0,27.72,3.5218770691851606,0.04,8.0,27.72,3.5218770691851606,8.0,0.04,0.0,0.0,0,0,6.50962115824979,3.25981499128017,99.22604607210722,0.00552944429084877,0.013270666298037047,6.0,0.0,0.0,0.026541332596074094,6.0,0.0,0.17706041168320005
Feb_2023,20230209,3512,287.0,1414,15710.0,0,-1,-1.0,11.92881548974943,6.101071336517204,0.0,25.0,25.0,0.04982915717539863,1.0,20.415,0.7248461975138252,0.02,4.0,20.415,0.7248461975138252,4.0,0.02,3.5876993166287017,0.0,0,0,8.233945360334907,5.304336972949095,106.45114250720854,0.005125284738041002,0.00968109339407745,8.0,0.0,0.0,0.018223234624145785,8.0,0.0,0.18615634503734996
Feb_2023,20230210,3217,351.0,1667,18220.0,0,-1,-1.0,49.934721790488034,17.66266169147119,14.0,77.0,63.0,0.07988809449797948,1.0,55.955,0.4733872383017255,0.04,5.0,55.955,0.4733872383017255,5.0,0.04,0.0,0.0,0,0,8.32404699993143,6.528735579189836,120.00159903694538,0.03170655890581287,0.05222256760957414,10.0,0.0,0.0,0.08268573204849239,14.0,0.0,0.5210812669504288
