month,timestamp_date,n_samples,P_best_final,N_conv_98,T_conv_98_seconds,duty_converged,N_conv_duty_stable,T_conv_duty_stable_seconds,duty_mean,duty_std,duty_min,duty_max,duty_range,duty_step_mean,duty_step_max,duty_mean_after_stable,duty_std_after_stable,duty_step_mean_after_stable,duty_range_after_stable,duty_final_mean,duty_final_std,duty_final_range,duty_final_step_mean,duty_saturation_percent,duty_saturation_after_stable_percent,gbest_consistency_violations,gbest_monotonic_violations,stability_score,duty_std_after_conv,P_ripple_after_conv,error_mean,mean_abs_error,max_abs_error,error_saturation_percent,delta_e_mean,mean_abs_delta_e,max_abs_delta_e,delta_e_saturation_percent,std_abs_error
Nov_2022,20221101,3389,303.0,1714,18580.0,0,-1,-1.0,58.82059604603128,11.629575465191603,30.0,81.0,51.0,0.07347300088521688,1.0,64.135,3.025316130331211,0.07,9.0,64.135,3.025316130331211,9.0,0.07,0.0,0.0,0,0,6.668749036756135,6.446334972663864,87.27067023871058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov_2022,20221102,3366,295.0,1657,18060.0,1,3023,31720.0,54.950386215092095,23.751116119847097,11.0,94.0,83.0,0.08288770053475936,1.0,93.34110787172011,0.8499920519214681,0.029154518950437316,2.0,93.315,0.8943007711875987,2.0,0.02,0.0,0.0,0,0,48.096657253973326,12.408617380334286,84.7088649522424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov_2022,20221103,3367,392.0,1459,14590.0,0,-1,-1.0,50.05138105138105,12.096832905077525,11.0,70.0,59.0,0.14256014256014257,1.0,15.16,3.2491823478604953,0.07,11.0,15.16,3.2491823478604953,11.0,0.07,0.0,0.0,0,0,6.4854281987186955,15.120452253744391,94.82528533919873,0.08316008316008316,0.1300861300861301,12.0,0.0,0.0,0.23284823284823286,12.0,0.0,0.8797285061372513
Nov_2022,20221104,3480,352.0,2114,22760.0,0,-1,-1.0,28.944827586206898,9.603543930281893,11.0,49.0,38.0,0.09683908045977012,1.0,39.075,2.076277835031045,0.05,9.0,39.075,2.076277835031045,9.0,0.05,0.0,0.0,0,0,7.1294752019133,8.386756649949746,100.08419077551754,0.046839080459770116,0.07327586206896551,13.0,0.0,0.0,0.1396551724137931,13.0,0.0,0.6769550069205283
Nov_2022,20221105,3089,399.0,1244,14760.0,0,-1,-1.0,66.60731628358693,6.986262302721842,48.0,83.0,35.0,0.08611201035933959,1.0,67.295,2.0120179125450175,0.04,6.0,67.295,2.0120179125450175,6.0,0.04,0.0,0.0,0,0,7.324924464690945,6.6886344673443165,83.82582279823234,0.06409841372612496,0.08481709291032696,13.0,0.0,0.0,0.13596633214632567,13.0,0.0,0.7901141784859487
Nov_2022,20221106,3470,295.0,1440,16160.0,0,-1,-1.0,35.453025936599424,16.1641536296221,0.0,57.0,57.0,0.06455331412103746,1.0,29.9,4.509064015009909,0.065,11.0,29.9,4.509064015009909,11.0,0.065,5.763688760806916,0.0,0,0,5.997338136040529,18.325605365089025,101.3586069502629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov_2022,20221107,3437,287.0,1403,15760.0,0,-1,-1.0,19.427698574338084,14.99638376176306,0.0,57.0,57.0,0.06430026185627,1.0,13.94,1.67644035423469,0.055,8.0,13.94,1.67644035423469,8.0,0.055,13.151003782368345,0.0,0,0,7.390196267517435,7.467211963193014,96.18872950424478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov_2022,20221108,3385,287.0,1452,16270.0,0,-1,-1.0,21.20738552437223,12.616038417163619,1.0,59.0,58.0,0.0827178729689808,1.0,18.52,1.2836818904930845,0.03,6.0,18.52,1.2836818904930845,6.0,0.03,0.0,0.0,0,0,7.743724899528378,6.135916698092159,94.71333967081078,0.0002954209748892171,0.0014771048744460858,1.0,0.0,0.0,0.0029542097488921715,1.0,0.0,0.03841040077370787
Nov_2022,20221109,3236,280.0,1542,17220.0,0,-1,-1.0,50.249690976514216,19.356767981101115,16.0,83.0,67.0,0.08559950556242274,1.0,78.495,4.1395233139012095,0.065,12.0,78.495,4.1395233139012095,12.0,0.065,0.0,0.0,0,0,6.0958796599264735,15.131674514475213,79.58485417966641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov_2022,20221110,3397,287.0,1681,18600.0,0,-1,-1.0,21.772151898734176,17.95956101993436,0.0,56.0,56.0,0.08242566970856638,1.0,42.32,4.916140987711325,0.075,15.0,42.32,4.916140987711325,15.0,0.075,7.212246099499558,0.0,0,0,5.717179918122927,14.591838240014987,88.11806612443854,0.0011775095672652341,0.0023550191345304682,1.0,0.0,0.0,0.0047100382690609364,1.0,0.0,0.048478498891846473
Nov_2022,20221111,3233,280.0,1312,14930.0,1,3024,32050.0,37.81348592638416,8.72518638651682,21.0,55.0,34.0,0.0708320445406743,1.0,51.55502392344498,0.7125834123927,0.028708133971291867,2.0,51.625,0.6453350187554994,2.0,0.03,0.0,0.0,0,0,51.51209780277383,10.122911108997565,83.78147298796623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov_2022,20221112,3306,287.0,1394,15700.0,0,-1,-1.0,63.58711433756806,6.315397006978902,49.0,79.0,30.0,0.06170598911070781,1.0,68.165,5.509040080909316,0.09,18.0,68.165,5.509040080909316,18.0,0.09,0.0,0.0,0,0,5.4350661534652085,6.854586368272649,95.29318844831458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov_2022,20221113,3449,303.0,1636,17530.0,1,3230,33470.0,46.244418672078865,10.236458360859912,25.0,63.0,38.0,0.07190489997100609,1.0,37.10045662100457,0.5576406488887957,0.0273972602739726,3.0,37.21,0.4083303421761706,1.0,0.015,0.0,0.0,0,0,53.04933100492106,7.988792795907747,92.57490539440953,0.004639025804581038,0.011017686285879966,7.0,0.0,0.0,0.02087561612061467,7.0,0.0,0.16118518402822765
Nov_2022,20221114,3399,311.0,1471,15750.0,0,-1,-1.0,43.45807590467785,14.826679417438802,19.0,74.0,55.0,0.09238011179758752,1.0,25.02,5.858430338422636,0.07,14.0,25.02,5.858430338422636,14.0,0.07,0.0,0.0,0,0,5.456004587057623,7.4067899390495056,84.1758173323106,0.0088261253309797,0.01235657546337158,11.0,0.0,0.0,0.024124742571344514,11.0,0.0,0.2386203625163973
Nov_2022,20221115,3220,343.0,1409,15150.0,1,2982,30880.0,39.15714285714286,5.726295350288378,25.0,49.0,24.0,0.07981366459627329,1.0,43.96218487394958,0.24870689937264237,0.008403361344537815,2.0,44.0,0.0,0.0,0.0,0.0,0.0,0,0,68.62898621740585,5.713498674519299,62.07797997326137,0.011801242236024845,0.01987577639751553,8.0,0.0,0.0,0.037267080745341616,9.0,0.0,0.24971431350491782
Nov_2022,20221116,3259,375.0,1136,12220.0,1,2939,30250.0,16.77692543725069,14.956975587362509,0.0,49.0,49.0,0.08499539736115373,1.0,11.521875,0.7339652153229574,0.0125,3.0,12.0,0.0,0.0,0.0,4.725375882172445,0.0,0,0,48.86474456113283,6.310402895209227,108.76824211174537,0.15035286897821418,0.16876342436330163,14.0,0.0,0.0,0.23381405339061062,14.0,0.0,1.1601607756483725
Nov_2022,20221117,3322,279.0,1446,16550.0,0,-1,-1.0,18.20439494280554,15.490710913680237,0.0,53.0,53.0,0.052980132450331126,1.0,9.255,3.620152277537896,0.045,9.0,9.255,3.620152277537896,9.0,0.045,8.248043347381095,0.0,0,0,6.424607881563112,5.26291746213254,97.87807660713773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov_2022,20221118,3476,328.0,1503,15690.0,1,3179,32450.0,10.590621403912543,14.714182990617317,0.0,49.0,49.0,0.062428078250863064,1.0,9.195286195286196,0.9806806114808541,0.006734006734006734,2.0,9.775,0.629568728511509,2.0,0.01,44.79286536248562,0.0,0,0,45.71607008899371,7.182416800145093,58.306845950922956,0.0008630609896432681,0.0008630609896432681,1.0,0.0,0.0,0.0017261219792865361,1.0,0.0,0.02936944439198387
Nov_2022,20221119,3271,304.0,1619,17750.0,0,-1,-1.0,43.140935493732805,7.53641574656096,23.0,59.0,36.0,0.10180372974625497,1.0,52.49,1.41417802892261,0.035,6.0,52.49,1.41417802892261,6.0,0.035,0.0,0.0,0,0,7.663317933003661,4.774955532096407,88.69381388788237,-0.0012228676245796392,0.006725771935188016,2.0,0.0,0.0,0.012228676245796393,2.0,0.0,0.09228998477479926
Nov_2022,20221120,3096,104.0,1856,20380.0,0,-1,-1.0,24.425710594315245,13.042826356493897,0.0,49.0,49.0,0.08236434108527131,1.0,16.01,5.483634858037268,0.08,16.0,16.01,5.483634858037268,16.0,0.08,2.0348837209302326,0.0,0,0,5.505505961861525,9.035364056847513,22.224384008382728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov_2022,20221121,3283,351.0,1699,17490.0,0,-1,-1.0,58.66219920804143,5.136538494272558,46.0,69.0,23.0,0.04508071885470606,1.0,67.255,1.9670591267270543,0.02,4.0,67.255,1.9670591267270543,4.0,0.02,0.0,0.0,0,0,7.469900525078847,3.3596538802213423,63.6178835337771,0.0012183978068839476,0.004873591227535791,3.0,0.0,0.0,0.009747182455071581,4.0,0.0,0.09223678319625792
Nov_2022,20221122,3275,208.0,524,6720.0,0,-1,-1.0,60.012519083969465,19.55383907828115,27.0,100.0,73.0,0.08946564885496183,1.0,60.835,3.528459313302074,0.04,8.0,60.835,3.528459313302074,8.0,0.04,1.618320610687023,0.0,0,0,6.506833115889869,21.12053777155209,27.933088547015714,-0.000916030534351145,0.0015267175572519084,1.0,0.0,0.0,0.0030534351145038168,1.0,0.0,0.03904935715868233
Nov_2022,20221123,2843,88.0,1152,15270.0,0,-1,-1.0,79.30953218431235,15.87439273528966,49.0,100.0,51.0,0.041857193105874074,1.0,90.515,1.2070875285195923,0.02,4.0,90.515,1.2070875285195923,4.0,0.02,22.405909250791417,0.0,0,0,7.919482602313447,11.224857005127108,21.304918027440674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
