month,timestamp_date,n_samples,P_best_final,N_conv_98,T_conv_98_seconds,duty_converged,N_conv_duty_stable,T_conv_duty_stable_seconds,duty_mean,duty_std,duty_min,duty_max,duty_range,duty_step_mean,duty_step_max,duty_mean_after_stable,duty_std_after_stable,duty_step_mean_after_stable,duty_range_after_stable,duty_final_mean,duty_final_std,duty_final_range,duty_final_step_mean,duty_saturation_percent,duty_saturation_after_stable_percent,gbest_consistency_violations,gbest_monotonic_violations,stability_score,duty_std_after_conv,P_ripple_after_conv,error_mean,mean_abs_error,max_abs_error,error_saturation_percent,delta_e_mean,mean_abs_delta_e,max_abs_delta_e,delta_e_saturation_percent,std_abs_error
Oct_2022,20221001,4031,16383.0,0,0.0,0,-1,-1.0,43.10940213346564,13.171278189537603,24.0,80.0,56.0,0.11932522947159514,1.0,35.805,3.060031694255673,0.08,12.0,35.805,3.060031694255673,12.0,0.08,0.0,0.0,0,0,6.518891355188441,13.171278189537603,578.1608890356762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct_2022,20221002,4069,16383.0,3843,38730.0,0,-1,-1.0,37.8105185549275,18.09813539756774,17.0,77.0,60.0,0.10715163430818384,1.0,28.155,3.8607644984591865,0.115,19.0,28.155,3.8607644984591865,19.0,0.115,0.0,0.0,0,0,5.925657472236611,4.421721657779813,1089.0580484261116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct_2022,20221003,4005,320.0,1727,17880.0,0,-1,-1.0,34.50711610486891,21.27419024609693,0.0,68.0,68.0,0.10711610486891386,1.0,4.825,4.238419042508598,0.07,13.0,4.825,4.238419042508598,13.0,0.07,7.465667915106117,35.5,0,0,2.910494801180431,20.247016280836505,106.33229420433625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct_2022,20221004,3967,343.0,1732,17330.0,0,-1,-1.0,7.89110158810184,7.338837546371858,0.0,27.0,27.0,0.09679858835391984,1.0,5.72,1.832591596564547,0.025,4.0,5.72,1.832591596564547,4.0,0.025,22.888832871187294,0.0,0,0,7.542848131323725,4.226421017093357,109.7089236716975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct_2022,20221005,4012,336.0,1809,18620.0,0,-1,-1.0,8.19915254237288,6.6300893317629095,0.0,23.0,23.0,0.06630109670987039,1.0,7.58,5.557700981611464,0.145,20.0,7.58,5.557700981611464,20.0,0.145,16.076769690927218,0.0,0,0,5.346821301282644,6.593469579519804,110.78179815281283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct_2022,20221006,3996,327.0,1861,19530.0,1,3744,38360.0,22.407157157157158,14.274657478692573,0.0,47.0,47.0,0.05930930930930931,1.0,17.71825396825397,0.9879675135110033,0.023809523809523808,4.0,17.88,0.9902032683054596,2.0,0.01,6.281281281281281,0.0,0,0,41.46320263132596,8.060458780004883,107.19216476456971,-0.0007507507507507507,0.0007507507507507507,3.0,0.0,0.0,0.0015015015015015015,3.0,0.0,0.047457899787624956
Oct_2022,20221007,4004,320.0,1861,19150.0,1,3725,37790.0,70.96528471528471,19.889855175181363,20.0,100.0,80.0,0.10814185814185814,1.0,74.80286738351255,0.40747382002317695,0.007168458781362007,2.0,75.0,0.0,0.0,0.0,6.218781218781219,0.0,0,0,61.93322280278623,14.52911948590746,106.48128267339476,-0.00024975024975024975,0.00024975024975024975,1.0,0.0,0.0,0.0004995004995004995,1.0,0.0,0.01580348853102535
Oct_2022,20221008,3986,16383.0,0,0.0,0,-1,-1.0,61.50225790265931,12.533343029608497,28.0,80.0,52.0,0.11440040140491721,1.0,65.435,2.54522412159435,0.05,8.0,65.435,2.54522412159435,8.0,0.05,0.0,0.0,0,0,6.9467483906686445,12.533343029608497,1657.5507550303898,0.0030105368790767687,0.009533366783743101,2.0,0.0,0.0,0.01806322127446061,2.0,0.0,0.1116070945499501
Oct_2022,20221009,3774,320.0,1795,18530.0,0,-1,-1.0,77.13222045574987,11.572505298087336,55.0,100.0,45.0,0.11128775834658187,1.0,72.68,1.549063584863368,0.06,5.0,72.68,1.549063584863368,5.0,0.06,6.120826709062003,0.0,0,0,7.6283099362998685,6.0613849756808635,107.07074434774553,0.0021197668256491787,0.005829358770535241,4.0,0.0,0.0,0.011128775834658187,4.0,0.0,0.09750635107050792
Oct_2022,20221010,3928,391.0,2445,25160.0,0,-1,-1.0,50.955448065173115,32.16870953326779,10.0,100.0,90.0,0.11685336048879837,2.0,21.55,1.4061959090657914,0.025,5.0,21.55,1.4061959090657914,5.0,0.025,1.603869653767821,0.0,0,0,7.733236794432298,5.054806670551117,111.31596367757986,0.03920570264765784,0.056517311608961306,16.0,0.0,0.0,0.10590631364562118,16.0,0.0,0.6814231047043063
Oct_2022,20221011,3953,16383.0,0,0.0,0,-1,-1.0,17.531242094611688,12.061146418792681,0.0,41.0,41.0,0.06172527194535796,1.0,29.745,0.7088634827566798,0.035,4.0,29.745,0.7088634827566798,4.0,0.035,8.904629395395903,0.0,0,0,8.234611673788333,12.061146418792681,1642.3770183315219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct_2022,20221012,3887,311.0,1654,17210.0,0,-1,-1.0,58.05119629534345,15.099454236976968,31.0,91.0,60.0,0.06277334705428352,1.0,67.89,10.700486064195882,0.19,36.0,67.89,10.700486064195882,36.0,0.19,0.0,0.0,0,0,3.923032293231188,6.901324761980861,101.01144085648531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct_2022,20221013,3810,311.0,2095,21020.0,0,-1,-1.0,85.2501312335958,12.464627030029328,62.0,100.0,38.0,0.06561679790026247,1.0,67.625,1.5118875686043927,0.065,4.0,67.625,1.5118875686043927,4.0,0.065,16.325459317585302,0.0,0,0,7.706008044789939,13.05369928986853,105.03263431081568,0.0,0.006299212598425197,9.0,0.0,0.0,0.011548556430446194,9.0,0.0,0.16982131892574515
Oct_2022,20221014,3825,375.0,1999,19990.0,0,-1,-1.0,56.04705882352941,10.091106028145646,32.0,75.0,43.0,0.11555555555555555,2.0,60.415,6.288121928440533,0.15,20.0,60.415,6.288121928440533,20.0,0.15,0.0,0.0,0,0,5.144529927744039,5.126467163298498,102.06355520147531,0.06352941176470588,0.0661437908496732,17.0,0.0,0.0,0.11712418300653595,17.0,0.0,0.8621312535550729
Oct_2022,20221015,3567,312.0,1612,16830.0,0,-1,-1.0,77.77768432856742,7.4057681599828,62.0,93.0,31.0,0.10569105691056911,1.0,80.65,6.098644713104987,0.135,23.0,80.65,6.098644713104987,23.0,0.135,0.0,0.0,0,0,5.119372317287551,6.528725938697879,107.496272506419,0.010092514718250631,0.015138772077375946,6.0,0.0,0.0,0.02803476310625175,6.0,0.0,0.22788162589385863
Oct_2022,20221016,3683,16383.0,0,0.0,0,-1,-1.0,88.52430084170513,7.342342119423498,71.0,100.0,29.0,0.1267988053217486,2.0,91.77,1.3326589584351607,0.02,4.0,91.77,1.3326589584351607,4.0,0.02,10.399131143089873,0.0,0,0,7.841501942922709,7.342342119423498,473.4014912251001,0.0963888134672821,0.13114308987238665,16.0,0.0,0.0,0.22970404561498778,16.0,0.0,1.075081681217992
Oct_2022,20221017,3790,16383.0,3679,38060.0,0,-1,-1.0,58.888654353562,27.872447339645184,9.0,100.0,91.0,0.07968337730870713,1.0,44.01,8.377398404045286,0.105,21.0,44.01,8.377398404045286,21.0,0.105,4.96042216358839,0.0,0,0,4.633405339290584,6.261984414899865,6966.875074676055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct_2022,20221018,3745,328.0,1764,18560.0,0,-1,-1.0,82.58825100133511,9.903474890946812,58.0,100.0,42.0,0.08037383177570094,1.0,87.57,3.824688380251409,0.085,12.0,87.57,3.824688380251409,12.0,0.085,2.1895861148197597,0.0,0,0,6.207444715230388,9.555612076601133,118.26861127937858,0.0,0.00801068090787717,12.0,0.0,0.0,0.014953271028037384,12.0,0.0,0.27040631008809757
Oct_2022,20221019,3711,248.0,2629,27220.0,0,-1,-1.0,81.20964699541902,13.032789817012999,61.0,100.0,39.0,0.08703853408784694,1.0,63.445,1.4926873677664214,0.035,4.0,63.445,1.4926873677664214,4.0,0.035,8.272702775532203,0.0,0,0,7.735335575126728,6.847978573920102,76.39141645950141,0.0010778765831312314,0.0010778765831312314,3.0,0.0,0.0,0.002155753166262463,3.0,0.0,0.051906219845703254
