corner,clock,rank,slack_ns,from_node,to_node
Slow 1100mV 85C Model,clk_osc,1,14.362,"u_clock_reset|clk_core_reg|q","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Slow 1100mV 85C Model,clk_osc,2,14.656,"u_clock_reset|clk_core_reg|q","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Slow 1100mV 85C Model,clk_osc,3,16.353,"mppt_clock_reset_unit:u_clock_reset|div_count[0]","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Slow 1100mV 85C Model,clk_osc,4,16.451,"mppt_clock_reset_unit:u_clock_reset|div_count[1]","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Slow 1100mV 85C Model,clk_osc,5,17.028,"mppt_clock_reset_unit:u_clock_reset|div_count[2]","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Slow 1100mV 85C Model,clk_osc,6,18.531,"mppt_clock_reset_unit:u_clock_reset|div_count[0]","mppt_clock_reset_unit:u_clock_reset|div_count[2]"
Slow 1100mV 85C Model,clk_osc,7,18.617,"mppt_clock_reset_unit:u_clock_reset|div_count[2]","mppt_clock_reset_unit:u_clock_reset|div_count[2]"
Slow 1100mV 85C Model,clk_osc,8,18.652,"mppt_clock_reset_unit:u_clock_reset|div_count[1]","mppt_clock_reset_unit:u_clock_reset|div_count[1]"
Slow 1100mV 85C Model,clk_osc,9,18.654,"mppt_clock_reset_unit:u_clock_reset|div_count[0]","mppt_clock_reset_unit:u_clock_reset|div_count[0]"
Slow 1100mV 85C Model,clk_osc,10,18.695,"mppt_clock_reset_unit:u_clock_reset|div_count[0]","mppt_clock_reset_unit:u_clock_reset|div_count[1]"
Slow 1100mV 85C Model,clk_core,1,135.266,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 85C Model,clk_core,2,135.266,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 85C Model,clk_core,3,135.266,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 85C Model,clk_core,4,135.266,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 85C Model,clk_core,5,135.266,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 85C Model,clk_core,6,135.266,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 85C Model,clk_core,7,135.266,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 85C Model,clk_core,8,135.266,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
