month,dia_01,dia_02,dia_03,dia_04,dia_05,dia_06,dia_07,dia_08,dia_09,dia_10,dia_11,dia_12,dia_13,dia_14,dia_15,dia_16,dia_17,dia_18,dia_19,dia_20,dia_21,dia_22,dia_23,dia_24,dia_25,dia_26,dia_27,dia_28,dia_29,dia_30,dia_31
May_2022,2050.000000,2065.000000,2104.000000,2176.000000,1539.000000,1444.000000,2330.000000,1705.000000,2646.000000,1545.000000,1535.000000,2019.000000,2066.000000,2371.000000,1375.000000,2284.000000,1962.000000,1574.000000,1732.000000,2249.000000,2094.000000,2311.000000,2139.000000,2307.000000,2213.000000,2741.000000,0.000000,0.000000,0.000000,1756.000000,1471.000000
Jun_2022,1144.000000,60.000000,1235.000000,1364.000000,136.000000,1728.000000,2069.000000,2014.000000,2081.000000,2094.000000,2648.000000,2147.000000,2948.000000,3148.000000,3405.000000,2590.000000,1614.000000,1632.000000,2324.000000,2042.000000,2814.000000,2349.000000,1996.000000,1512.000000,2123.000000,1971.000000,2140.000000,2754.000000,2375.000000,2230.000000,
Jul_2022,2357.000000,1303.000000,2292.000000,1846.000000,2093.000000,1496.000000,2124.000000,2256.000000,1996.000000,2425.000000,1730.000000,2381.000000,2793.000000,2412.000000,2968.000000,1397.000000,2157.000000,3018.000000,3051.000000,2299.000000,2463.000000,5258.000000,108.000000,2537.000000,1769.000000,2895.000000,2254.000000,2737.000000,3048.000000,1986.000000,1811.000000
Aug_2022,4095.000000,3001.000000,1875.000000,2732.000000,458.000000,3739.000000,4654.000000,36.000000,12.000000,1953.000000,1999.000000,1481.000000,2525.000000,1212.000000,2523.000000,2078.000000,2153.000000,2062.000000,2099.000000,1949.000000,2283.000000,2018.000000,2482.000000,2134.000000,2192.000000,2428.000000,2046.000000,1542.000000,1640.000000,1840.000000,2083.000000
Sep_2022,2540.000000,2679.000000,2245.000000,2182.000000,1887.000000,1778.000000,2691.000000,1866.000000,569.000000,583.000000,2100.000000,1989.000000,1767.000000,954.000000,0.000000,1913.000000,1927.000000,1902.000000,0.000000,1796.000000,1756.000000,0.000000,1835.000000,1786.000000,2017.000000,0.000000,3404.000000,0.000000,1648.000000,0.000000,
Oct_2022,0.000000,3843.000000,1727.000000,1732.000000,1809.000000,1861.000000,1861.000000,0.000000,1795.000000,2445.000000,0.000000,1654.000000,2095.000000,1999.000000,1612.000000,0.000000,3679.000000,1764.000000,2629.000000,1595.000000,1566.000000,1627.000000,1577.000000,2685.000000,167.000000,165.000000,1648.000000,1445.000000,1338.000000,2124.000000,1411.000000
Nov_2022,1714.000000,1657.000000,1459.000000,2114.000000,1244.000000,1440.000000,1403.000000,1452.000000,1542.000000,1681.000000,1312.000000,1394.000000,1636.000000,1471.000000,1409.000000,1136.000000,1446.000000,1503.000000,1619.000000,1856.000000,1699.000000,524.000000,1152.000000,1441.000000,1536.000000,1283.000000,1457.000000,1346.000000,1335.000000,1230.000000,
Dec_2022,1845.000000,1217.000000,1448.000000,1093.000000,61.000000,127.000000,1425.000000,215.000000,821.000000,1624.000000,1931.000000,1079.000000,1285.000000,1095.000000,1143.000000,1180.000000,0.000000,3189.000000,1227.000000,1945.000000,1419.000000,1247.000000,1164.000000,2981.000000,1141.000000,1105.000000,1014.000000,1110.000000,1526.000000,1144.000000,1079.000000
Jan_2023,1292.000000,1148.000000,1116.000000,1387.000000,1356.000000,1087.000000,907.000000,3159.000000,1048.000000,1222.000000,1239.000000,698.000000,1529.000000,1278.000000,1248.000000,1328.000000,1322.000000,1172.000000,1303.000000,1401.000000,1198.000000,1719.000000,1453.000000,1537.000000,,,,,,,
Feb_2023,862.000000,1468.000000,510.000000,1034.000000,993.000000,1443.000000,1609.000000,1555.000000,1414.000000,1667.000000,1908.000000,2438.000000,0.000000,1501.000000,2092.000000,2111.000000,1577.000000,1722.000000,2207.000000,1754.000000,1533.000000,1685.000000,2205.000000,1566.000000,1518.000000,1550.000000,1643.000000,1630.000000,,,
Mar_2023,1287.000000,1729.000000,1872.000000,3935.000000,0.000000,2428.000000,2241.000000,1907.000000,1761.000000,1659.000000,968.000000,1772.000000,1466.000000,2377.000000,1574.000000,1842.000000,1666.000000,1928.000000,1949.000000,1781.000000,1848.000000,2143.000000,1783.000000,1820.000000,1790.000000,1968.000000,1466.000000,1887.000000,2020.000000,2093.000000,1897.000000
Apr_2023,2083.000000,2626.000000,1614.000000,1679.000000,1616.000000,1703.000000,2152.000000,2122.000000,2148.000000,2189.000000,2703.000000,2618.000000,2395.000000,1687.000000,1934.000000,2762.000000,1934.000000,2133.000000,1664.000000,2422.000000,2064.000000,2122.000000,2616.000000,1941.000000,2664.000000,1719.000000,1414.000000,1809.000000,1982.000000,2641.000000,
May_2023,2982.000000,2018.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,788.000000,1008.000000,903.000000,1503.000000,1330.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1118.000000,1171.000000,1745.000000,1246.000000,1103.000000
Jun_2023,1181.000000,2177.000000,1397.000000,2240.000000,1167.000000,2167.000000,1331.000000,1173.000000,1266.000000,1058.000000,1051.000000,1357.000000,0.000000,1055.000000,1273.000000,1300.000000,0.000000,0.000000,1505.000000,1189.000000,1108.000000,1052.000000,1253.000000,1220.000000,1203.000000,1643.000000,1568.000000,1256.000000,1708.000000,1672.000000,
Jul_2023,2052.000000,2312.000000,2090.000000,2123.000000,3331.000000,3549.000000,2375.000000,2681.000000,2429.000000,1390.000000,3373.000000,2538.000000,2408.000000,2278.000000,2249.000000,2158.000000,2149.000000,2511.000000,2839.000000,1388.000000,1472.000000,2061.000000,1998.000000,2190.000000,2318.000000,2561.000000,3099.000000,3102.000000,1769.000000,2819.000000,1622.000000
