month,dia_01,dia_02,dia_03,dia_04,dia_05,dia_06,dia_07,dia_08,dia_09,dia_10,dia_11,dia_12,dia_13,dia_14,dia_15,dia_16,dia_17,dia_18,dia_19,dia_20,dia_21,dia_22,dia_23,dia_24,dia_25,dia_26,dia_27,dia_28,dia_29,dia_30,dia_31
May_2022,3305.000000,3456.000000,3456.000000,3531.000000,3831.000000,3831.000000,3531.000000,3831.000000,3681.000000,3831.000000,3831.000000,3230.000000,3230.000000,3756.000000,3831.000000,3305.000000,3456.000000,3831.000000,3831.000000,3831.000000,3305.000000,3305.000000,3230.000000,3155.000000,3230.000000,3681.000000,75.000000,75.000000,75.000000,150.000000,150.000000
Jun_2022,16.000000,8.000000,16.000000,336.000000,16383.000000,328.000000,352.000000,328.000000,328.000000,328.000000,327.000000,368.000000,344.000000,351.000000,336.000000,360.000000,376.000000,335.000000,352.000000,343.000000,391.000000,399.000000,335.000000,384.000000,351.000000,320.000000,320.000000,399.000000,320.000000,312.000000,
Jul_2022,384.000000,384.000000,376.000000,320.000000,328.000000,399.000000,320.000000,360.000000,320.000000,384.000000,407.000000,352.000000,391.000000,320.000000,407.000000,408.000000,408.000000,400.000000,384.000000,400.000000,391.000000,16383.000000,16383.000000,399.000000,399.000000,351.000000,336.000000,383.000000,360.000000,320.000000,391.000000
Sep_2022,351.000000,319.000000,335.000000,319.000000,312.000000,312.000000,376.000000,312.000000,16383.000000,383.000000,408.000000,407.000000,408.000000,408.000000,16383.000000,391.000000,368.000000,368.000000,16383.000000,312.000000,336.000000,16383.000000,335.000000,320.000000,328.000000,16383.000000,16383.000000,16383.000000,320.000000,16383.000000,
Oct_2022,16383.000000,16383.000000,320.000000,343.000000,336.000000,327.000000,320.000000,16383.000000,320.000000,391.000000,16383.000000,311.000000,311.000000,375.000000,312.000000,16383.000000,16383.000000,328.000000,248.000000,304.000000,304.000000,296.000000,296.000000,16383.000000,16383.000000,16383.000000,295.000000,399.000000,336.000000,376.000000,304.000000
Nov_2022,303.000000,295.000000,392.000000,352.000000,399.000000,295.000000,287.000000,287.000000,280.000000,287.000000,280.000000,287.000000,303.000000,311.000000,343.000000,375.000000,279.000000,328.000000,304.000000,104.000000,351.000000,208.000000,88.000000,328.000000,351.000000,272.000000,16383.000000,272.000000,287.000000,272.000000,
Dec_2022,295.000000,264.000000,295.000000,304.000000,8.000000,16383.000000,15.000000,16.000000,55.000000,136.000000,216.000000,328.000000,376.000000,264.000000,264.000000,264.000000,16383.000000,16383.000000,271.000000,327.000000,376.000000,264.000000,264.000000,16383.000000,264.000000,264.000000,256.000000,264.000000,367.000000,256.000000,256.000000
Jan_2023,263.000000,264.000000,264.000000,264.000000,287.000000,272.000000,287.000000,16383.000000,320.000000,264.000000,264.000000,336.000000,280.000000,280.000000,280.000000,279.000000,272.000000,272.000000,272.000000,280.000000,272.000000,263.000000,375.000000,287.000000,,,,,,,
Feb_2023,16383.000000,296.000000,16383.000000,408.000000,119.000000,248.000000,407.000000,375.000000,287.000000,351.000000,327.000000,320.000000,16383.000000,328.000000,368.000000,399.000000,312.000000,320.000000,383.000000,343.000000,312.000000,320.000000,368.000000,312.000000,304.000000,312.000000,407.000000,351.000000,,,
Mar_2023,367.000000,408.000000,400.000000,16383.000000,16383.000000,335.000000,408.000000,384.000000,344.000000,328.000000,352.000000,343.000000,359.000000,384.000000,408.000000,351.000000,344.000000,368.000000,351.000000,344.000000,335.000000,399.000000,335.000000,352.000000,335.000000,408.000000,408.000000,360.000000,343.000000,352.000000,352.000000
Apr_2023,3366.000000,3516.000000,3815.000000,3815.000000,3815.000000,3815.000000,3441.000000,3292.000000,3292.000000,3367.000000,3142.000000,3591.000000,3815.000000,3815.000000,3367.000000,3741.000000,3292.000000,3741.000000,3741.000000,3741.000000,3142.000000,3741.000000,3815.000000,3815.000000,3741.000000,3741.000000,3815.000000,3815.000000,3516.000000,3815.000000,
May_2023,3863.000000,3617.000000,82.000000,82.000000,82.000000,82.000000,82.000000,,82.000000,82.000000,82.000000,82.000000,,82.000000,82.000000,82.000000,164.000000,164.000000,164.000000,164.000000,164.000000,82.000000,82.000000,82.000000,82.000000,82.000000,164.000000,164.000000,164.000000,164.000000,164.000000
Jun_2023,2517.000000,3775.000000,3775.000000,3775.000000,2517.000000,3775.000000,2517.000000,2517.000000,2517.000000,2517.000000,2517.000000,2517.000000,1258.000000,2517.000000,2517.000000,2517.000000,1258.000000,1258.000000,2517.000000,2517.000000,2517.000000,2517.000000,2517.000000,2517.000000,2517.000000,3775.000000,2517.000000,2517.000000,3775.000000,3775.000000,
Jul_2023,3225.000000,3763.000000,3071.000000,3148.000000,3609.000000,3302.000000,3148.000000,3609.000000,3225.000000,3225.000000,3532.000000,3225.000000,3839.000000,3225.000000,3839.000000,3302.000000,3071.000000,3148.000000,3225.000000,3071.000000,3532.000000,3455.000000,3839.000000,3071.000000,2995.000000,3379.000000,3839.000000,3763.000000,3686.000000,3686.000000,3839.000000
