month,dia_01,dia_02,dia_03,dia_04,dia_05,dia_06,dia_07,dia_08,dia_09,dia_10,dia_11,dia_12,dia_13,dia_14,dia_15,dia_16,dia_17,dia_18,dia_19,dia_20,dia_21,dia_22,dia_23,dia_24,dia_25,dia_26,dia_27,dia_28,dia_29,dia_30,dia_31
May_2022,1096.761222,1177.934477,1184.215476,1159.334832,1246.842953,1287.253919,1281.363745,1289.382980,1140.445272,1345.703834,1125.503587,1266.783897,1103.394176,955.792278,1350.594368,1172.787895,1282.272322,1008.422561,1160.810871,1320.999190,1089.861482,1296.102149,1245.178058,1195.632127,1237.263868,989.918921,0.000000,0.000000,0.000000,4.702809,2.929373
Jun_2022,1.794734,0.498550,3.016421,129.548596,794.648708,128.149472,90.227009,126.923887,125.754823,128.306826,124.115477,114.373217,113.476924,86.046105,80.045611,124.717647,129.894774,130.617421,126.864415,125.765152,113.540757,117.571374,127.797892,131.945653,131.111217,125.193528,128.119080,100.511686,124.201165,126.474141,
Jul_2022,130.343288,133.352219,108.992337,125.556246,128.878523,127.649375,125.532536,126.086919,133.273288,119.605521,117.951414,104.470473,103.017901,119.453935,82.505142,123.338326,117.466344,91.355123,99.254389,116.160475,129.216455,4378.837789,901.342249,42.501823,131.071437,99.041322,127.000923,97.820601,92.632972,120.995155,122.716327
Sep_2022,87.255316,54.531254,114.826023,118.530657,118.816753,116.657677,77.721098,121.358324,3764.950855,59.603276,103.309323,79.355245,111.570998,112.888122,272.899917,110.516674,123.654007,132.042505,270.017693,118.444274,106.667472,279.547758,110.893497,104.883128,107.924751,372.035140,0.000000,274.936803,105.240601,370.536687,
Oct_2022,578.160889,1089.058048,106.332294,109.708924,110.781798,107.192165,106.481283,1657.550755,107.070744,111.315964,1642.377018,101.011441,105.032634,102.063555,107.496273,473.401491,6966.875075,118.268611,76.391416,94.759555,93.456584,92.654036,92.357778,2304.751377,433.143725,295.211252,91.433745,85.591309,76.891716,93.270562,89.599941
Nov_2022,87.270670,84.708865,94.825285,100.084191,83.825823,101.358607,96.188730,94.713340,79.584854,88.118066,83.781473,95.293188,92.574905,84.175817,62.077980,108.768242,97.878077,58.306846,88.693814,22.224384,63.617884,27.933089,21.304918,60.077985,98.990771,99.160235,385.802289,97.591211,92.835772,97.198622,
Dec_2022,85.667390,98.250605,78.569671,67.246511,0.475104,1194.306774,0.638625,1.242198,13.062934,37.181484,80.385756,79.974381,96.216119,99.174818,100.799138,92.938733,433.252644,0.000000,88.600777,88.046660,49.096420,101.556279,100.467116,0.000000,100.648548,95.111589,92.489760,95.302755,104.741529,95.334905,95.933284
Jan_2023,98.817803,96.755035,96.149560,91.488494,108.397144,103.205107,84.924738,7833.639387,82.480409,94.866754,98.520105,95.975726,102.232991,97.318668,94.450928,96.084939,94.171376,94.273856,94.910926,96.917526,95.345661,34.189339,103.736140,87.389873,,,,,,,
Feb_2023,1669.384745,102.437497,8012.284978,97.707407,24.456270,43.072552,75.584339,99.226046,106.451143,120.001599,88.651377,90.604942,1763.639894,95.801026,70.229663,71.553235,105.057286,106.137529,107.639268,119.749953,98.378902,112.625297,109.986013,99.781746,83.694035,100.939948,94.533204,124.010633,,,
Mar_2023,63.425037,120.154879,86.008761,0.000000,1346.186527,68.625688,96.185414,58.867067,110.313325,108.031908,116.792496,110.226629,119.002425,87.931738,116.659433,111.861347,110.974572,117.051012,109.628317,123.125727,121.032450,114.895580,117.589085,114.436462,130.544898,87.242719,130.214859,116.804704,113.437948,80.354863,131.748696
Apr_2023,1096.904595,866.048182,1132.905831,1058.735492,1318.942996,1324.603360,1181.009408,1011.934945,1093.144541,1046.614050,700.680287,1019.782877,1294.716696,1205.908691,1044.343310,756.390412,1118.762974,1029.710279,738.387163,919.192904,1178.623926,1280.411693,694.581683,1013.670787,1104.033281,811.215685,1228.975644,1265.238986,1141.897829,1187.560513,
May_2023,951.402708,1251.601777,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,2.537836,16.820706,16.548382,19.478913,7.191703,0.000000,0.000000,0.000000,0.000000,0.000000,30.084246,39.459757,3.246411,18.519633,36.753560
Jun_2023,609.393781,579.924280,629.117370,721.311607,583.777525,585.052338,419.558057,457.697506,184.015169,586.837296,150.954670,588.997910,0.000000,563.912320,493.803215,424.147268,0.000000,0.000000,469.405376,605.673636,605.421087,614.080781,607.782317,609.185469,601.494425,608.722324,514.232527,608.829393,790.113235,703.211041,
Jul_2023,1215.372442,1185.081742,1053.365382,1170.163949,852.330729,654.960009,1123.988046,1168.841315,996.622988,1188.112639,990.011331,1196.328469,883.932995,1114.259462,1013.250260,1191.296259,1085.274934,1116.097125,811.761912,1256.051995,1168.849717,1254.385404,900.537118,1148.336155,1141.384169,1091.406075,712.769319,968.029436,1303.448599,1107.503890,1319.690650
