month,dia_01,dia_02,dia_03,dia_04,dia_05,dia_06,dia_07,dia_08,dia_09,dia_10,dia_11,dia_12,dia_13,dia_14,dia_15,dia_16,dia_17,dia_18,dia_19,dia_20,dia_21,dia_22,dia_23,dia_24,dia_25,dia_26,dia_27,dia_28,dia_29,dia_30,dia_31
May_2022,23040.000000,21980.000000,22430.000000,23050.000000,16430.000000,15270.000000,24590.000000,18410.000000,27180.000000,16880.000000,16880.000000,21540.000000,22020.000000,24920.000000,14810.000000,24110.000000,20930.000000,33950.000000,18060.000000,24150.000000,22110.000000,24480.000000,22730.000000,42300.000000,23540.000000,28950.000000,0.000000,0.000000,0.000000,35710.000000,50260.000000
Jun_2022,31730.000000,27870.000000,26000.000000,18880.000000,6440.000000,17380.000000,51280.000000,40860.000000,40200.000000,40300.000000,43500.000000,40990.000000,48320.000000,50720.000000,53610.000000,45230.000000,16840.000000,36820.000000,43140.000000,20420.000000,45630.000000,23940.000000,20530.000000,35130.000000,41130.000000,40150.000000,41580.000000,40320.000000,42470.000000,41050.000000,
Jul_2022,23960.000000,13070.000000,23470.000000,38970.000000,39500.000000,15000.000000,40440.000000,39390.000000,39700.000000,42830.000000,39210.000000,43010.000000,46920.000000,43380.000000,36450.000000,13970.000000,21570.000000,30380.000000,49740.000000,43890.000000,45680.000000,80860.000000,8440.000000,44410.000000,37980.000000,50330.000000,22620.000000,48670.000000,47230.000000,41130.000000,38360.000000
Sep_2022,47260.000000,49120.000000,44730.000000,42830.000000,41000.000000,39690.000000,47800.000000,41510.000000,26940.000000,33220.000000,21450.000000,20210.000000,17670.000000,9540.000000,0.000000,19230.000000,19410.000000,41290.000000,0.000000,18280.000000,18040.000000,0.000000,18960.000000,18470.000000,20790.000000,0.000000,51600.000000,0.000000,17130.000000,0.000000,
Oct_2022,0.000000,38730.000000,17880.000000,17330.000000,18620.000000,19530.000000,19150.000000,0.000000,18530.000000,25160.000000,0.000000,17210.000000,21020.000000,19990.000000,16830.000000,0.000000,38060.000000,18560.000000,27220.000000,16990.000000,16510.000000,17360.000000,16810.000000,27740.000000,1670.000000,2240.000000,17960.000000,14600.000000,16260.000000,23410.000000,15610.000000
Nov_2022,18580.000000,18060.000000,14590.000000,22760.000000,14760.000000,16160.000000,15760.000000,16270.000000,17220.000000,18600.000000,14930.000000,15700.000000,17530.000000,15750.000000,15150.000000,12220.000000,16550.000000,15690.000000,17750.000000,20380.000000,17490.000000,6720.000000,15270.000000,15510.000000,18140.000000,15220.000000,17170.000000,16180.000000,14580.000000,13070.000000,
Dec_2022,19180.000000,14840.000000,16220.000000,13520.000000,610.000000,19980.000000,18660.000000,7250.000000,17280.000000,17660.000000,22000.000000,13080.000000,16930.000000,14000.000000,14550.000000,14900.000000,0.000000,52760.000000,15240.000000,20030.000000,15800.000000,14560.000000,14770.000000,54430.000000,14450.000000,14170.000000,13260.000000,14160.000000,16800.000000,14510.000000,13840.000000
Jan_2023,15980.000000,14540.000000,13860.000000,15290.000000,16550.000000,13860.000000,12130.000000,33010.000000,13160.000000,15110.000000,15210.000000,10040.000000,18090.000000,15440.000000,15170.000000,15880.000000,15910.000000,14260.000000,15500.000000,16500.000000,14470.000000,18180.000000,16690.000000,16410.000000,,,,,,,
Feb_2023,9920.000000,16590.000000,6180.000000,12850.000000,11540.000000,17960.000000,17260.000000,16460.000000,15710.000000,18220.000000,20470.000000,25470.000000,0.000000,16040.000000,21930.000000,22150.000000,16980.000000,18420.000000,22620.000000,18730.000000,16390.000000,16850.000000,23040.000000,16620.000000,15780.000000,16530.000000,17920.000000,17080.000000,,,
Mar_2023,14840.000000,18740.000000,19330.000000,45540.000000,0.000000,24970.000000,23000.000000,20670.000000,18080.000000,17160.000000,9680.000000,18360.000000,15440.000000,25170.000000,16190.000000,19110.000000,17530.000000,20070.000000,20360.000000,18570.000000,19140.000000,22180.000000,18540.000000,18900.000000,18710.000000,20350.000000,15860.000000,19740.000000,21090.000000,21610.000000,19870.000000
Apr_2023,21710.000000,27130.000000,17810.000000,17670.000000,17150.000000,18000.000000,22480.000000,22160.000000,22380.000000,22680.000000,28010.000000,27050.000000,24870.000000,17700.000000,20400.000000,28590.000000,20170.000000,22220.000000,17200.000000,26270.000000,21740.000000,22190.000000,27400.000000,20470.000000,27300.000000,18160.000000,15350.000000,19250.000000,20960.000000,27420.000000,
May_2023,30830.000000,21340.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,24120.000000,21350.000000,20300.000000,31940.000000,28970.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29820.000000,23980.000000,55960.000000,33760.000000,20190.000000
Jun_2023,21380.000000,37450.000000,49340.000000,57210.000000,40900.000000,57570.000000,28410.000000,26460.000000,56020.000000,24750.000000,39530.000000,46210.000000,0.000000,20110.000000,25150.000000,44010.000000,0.000000,0.000000,29740.000000,21730.000000,41100.000000,42130.000000,24410.000000,42610.000000,43700.000000,49370.000000,49090.000000,42500.000000,49490.000000,44110.000000,
Jul_2023,42250.000000,41190.000000,21860.000000,22060.000000,50720.000000,53420.000000,42090.000000,45390.000000,43230.000000,32580.000000,52210.000000,44870.000000,42350.000000,42780.000000,24540.000000,42550.000000,23080.000000,43090.000000,47270.000000,32810.000000,33650.000000,36870.000000,38620.000000,41160.000000,42230.000000,44740.000000,46320.000000,49680.000000,18720.000000,48140.000000,36970.000000
