month,dia_01,dia_02,dia_03,dia_04,dia_05,dia_06,dia_07,dia_08,dia_09,dia_10,dia_11,dia_12,dia_13,dia_14,dia_15,dia_16,dia_17,dia_18,dia_19,dia_20,dia_21,dia_22,dia_23,dia_24,dia_25,dia_26,dia_27,dia_28,dia_29,dia_30,dia_31
May_2022,0.569383,2.351615,0.841808,2.445305,1.477121,1.550759,1.221877,2.041006,2.524214,2.418509,2.537440,1.326690,1.361189,1.937830,2.342333,2.304152,2.635060,1.665758,1.934914,2.179292,1.431956,0.868818,2.233920,1.372505,7.986694,0.989784,0.000000,0.000000,0.000000,0.036250,0.000000
Jun_2022,4.261285,8.986706,5.190726,8.172563,16.924665,16.101547,7.141337,7.562282,14.764712,18.026045,24.130539,11.771339,17.189438,10.791619,6.473049,9.992302,15.204903,22.903748,15.008484,21.545695,5.639759,11.431442,25.598731,9.096631,23.632931,9.912000,13.592485,12.545951,15.975371,9.430472,
Jul_2022,9.252850,10.125515,3.721104,18.389991,8.574491,16.092857,24.097957,27.274740,9.581427,9.912113,10.188887,15.391389,10.952208,23.151149,16.298999,10.833211,9.655868,12.265563,3.981349,8.864087,9.263815,1.718893,19.304460,7.668257,9.090314,8.139688,10.313080,10.123441,23.780044,18.942522,9.946031
Sep_2022,11.299961,15.525391,10.261182,17.023613,7.665252,11.895246,8.869948,18.008864,7.718511,8.416630,7.286888,5.721008,5.404316,9.335280,17.312184,11.372480,8.040613,6.453018,10.526420,11.970392,13.570041,3.911973,6.831327,10.997120,5.657720,13.658591,0.000000,19.388250,14.704656,18.404454,
Oct_2022,13.171278,4.421722,20.247016,4.226421,6.593470,8.060459,14.529119,12.533343,6.061385,5.054807,12.061146,6.901325,13.053699,5.126467,6.528726,7.342342,6.261984,9.555612,6.847979,11.863703,16.144947,10.222204,10.719469,2.196150,21.394764,21.022297,10.146650,6.729787,5.373396,2.434070,11.390168
Nov_2022,6.446335,10.105289,13.835364,8.626529,6.815564,20.152363,8.095162,8.432410,15.131675,14.591838,10.122911,6.854586,7.988793,7.406790,6.409509,4.429173,5.734332,7.182417,4.774956,9.035364,3.359654,20.751557,5.230937,2.990018,7.314375,11.500148,10.457153,13.723586,7.544305,9.937599,
Dec_2022,8.726820,5.958556,9.462580,10.542148,0.000000,4.109645,1.905315,0.645687,3.235362,5.664973,8.105037,7.716436,10.111637,13.888204,3.302297,17.883625,8.917287,0.000000,3.584399,7.312749,9.948126,8.014171,17.838572,0.000000,5.808328,16.844077,11.638067,5.998788,12.839475,9.960116,3.987711
Jan_2023,12.747151,10.126945,12.534072,2.696670,9.446692,4.900952,39.804694,1.077260,6.812464,5.588527,27.503216,24.294785,2.530870,16.880798,7.192689,20.330429,14.452244,15.121980,22.558921,7.210720,4.922116,15.826966,12.472752,4.712091,,,,,,,
Feb_2023,8.176159,15.856995,12.231460,4.038483,22.488619,4.916535,3.781075,3.259815,5.304337,6.528736,8.677454,3.200906,8.437361,6.746670,3.643990,3.207471,9.018551,18.143319,3.059973,9.506787,18.089636,12.647252,3.220819,8.243246,6.679429,7.083775,14.086092,7.651623,,,
Mar_2023,5.950429,3.539124,4.540206,0.000000,27.698685,4.222174,4.576203,6.252727,8.942540,9.688874,14.056149,14.991069,5.206058,2.100534,32.305043,8.999433,6.137006,13.688003,15.850958,6.562582,14.810292,6.874964,15.292637,18.408774,14.410539,11.229761,10.357809,8.231570,7.358580,5.989727,7.928897
Apr_2023,16.773123,1.222513,1.360829,3.553938,1.378398,1.494045,5.188079,2.939013,1.268570,4.245885,1.532756,0.858953,1.678606,1.438441,8.325712,0.679677,1.388553,2.723801,1.030045,1.207331,5.884522,2.071446,0.398654,1.153004,1.479546,0.693253,1.541540,1.722790,10.878553,2.502664,
May_2023,4.656963,2.129282,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.029656,0.797295,0.082580,0.256385,0.000000,0.000000,0.000000,0.000000,0.000000,0.632210,0.138958,0.000000,0.065026,0.723198
Jun_2023,11.410870,2.593968,3.112916,13.065062,10.762780,4.741580,11.488230,7.003011,2.132243,11.420771,0.376648,10.651759,0.000000,6.089348,7.977653,7.861749,0.000000,0.000000,7.500307,5.187424,9.123033,11.022072,5.076826,5.556405,5.883406,6.754257,5.105971,22.666852,15.097728,6.797643,
Jul_2023,17.732003,1.485694,3.208042,7.008518,1.800684,2.721476,1.521129,1.773819,0.858152,2.873254,3.278863,1.699098,3.670727,2.223528,0.978660,2.058332,2.768725,0.686368,9.154116,1.967928,2.080629,1.478646,2.683762,1.125003,3.133045,1.877847,1.637867,2.113298,3.283838,1.337153,9.043772
