month,dia_01,dia_02,dia_03,dia_04,dia_05,dia_06,dia_07,dia_08,dia_09,dia_10,dia_11,dia_12,dia_13,dia_14,dia_15,dia_16,dia_17,dia_18,dia_19,dia_20,dia_21,dia_22,dia_23,dia_24,dia_25,dia_26,dia_27,dia_28,dia_29,dia_30,dia_31
May_2022,0.173765,0.051926,0.044223,0.290100,0.821789,2.569918,0.601731,1.943083,0.585141,0.668563,1.141566,0.088870,0.081672,0.503772,1.472204,0.072240,0.248913,0.946250,1.521695,1.086243,0.199789,0.076246,0.335574,0.103146,0.186589,0.414679,0.000000,0.000000,0.000000,0.001589,0.000000
Jun_2022,0.000000,0.000000,0.000000,0.010966,0.096452,0.007057,0.008081,0.007546,0.000000,0.000000,0.008942,0.032802,0.009841,0.018588,0.011541,0.062138,0.079827,0.004447,0.000187,0.000000,0.014235,0.024592,0.000000,0.049708,0.001630,0.000000,0.001355,0.021660,0.000542,0.002907,
Jul_2022,0.038372,0.052410,0.029393,0.005870,0.001696,0.002824,0.000000,0.008681,0.000000,0.048113,0.031898,0.039729,0.012951,0.007940,0.004231,0.125817,0.092871,0.093076,0.010447,0.013362,0.006236,0.002777,0.007467,0.103324,0.052261,0.017529,0.001441,0.057636,0.092785,0.000403,0.046734
Sep_2022,0.004166,0.004354,0.013136,0.008624,0.000000,0.000216,0.059399,0.021817,0.077743,0.003464,0.033420,0.009899,0.023404,0.051789,0.028360,0.053487,0.086027,0.051282,0.004764,0.003200,0.019413,0.036745,0.000000,0.000000,0.000000,0.000000,0.307986,0.000000,0.000000,0.000000,
Oct_2022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000751,0.000250,0.009533,0.005829,0.056517,0.000000,0.000000,0.006299,0.066144,0.015139,0.131143,0.000000,0.008011,0.001078,0.000000,0.000000,0.000000,0.002472,0.011882,0.062204,0.047143,0.000852,0.069381,0.044825,0.164308,0.000000
Nov_2022,0.000000,0.000000,0.130086,0.073276,0.084817,0.000000,0.000000,0.001477,0.000000,0.002355,0.000000,0.000000,0.011018,0.012357,0.019876,0.168763,0.000000,0.000863,0.006726,0.000000,0.004874,0.001527,0.000000,0.002438,0.071362,0.000000,0.002714,0.000000,0.003265,0.016369,
Dec_2022,0.001511,0.000000,0.016170,0.031835,0.000000,0.000000,0.000000,0.000000,0.002530,0.001545,0.027564,0.009833,0.011789,0.000000,0.000000,0.000675,0.000000,0.002508,0.001361,0.027803,0.044452,0.004034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000311,0.010407,0.000000,0.000000
Jan_2023,0.002951,0.002583,0.000000,0.000000,0.000000,0.000000,0.004916,0.010996,0.005332,0.000000,0.000000,0.007543,0.000000,0.000000,0.000321,0.000000,0.000000,0.000000,0.001869,0.000000,0.000000,0.001764,0.019116,0.001140,,,,,,,
Feb_2023,0.123935,0.000000,0.017021,0.075432,0.000000,0.000000,0.059565,0.013271,0.009681,0.052223,0.013098,0.010672,0.002720,0.003671,0.006616,0.016927,0.000796,0.008579,0.047753,0.000000,0.000000,0.003381,0.011079,0.000000,0.007908,0.000000,0.076599,0.045781,,,
Mar_2023,0.022198,0.124647,0.022549,0.002447,0.000000,0.015068,0.084538,0.004644,0.000000,0.000247,0.003662,0.000000,0.042401,0.034530,0.131553,0.000000,0.017643,0.000000,0.000000,0.002368,0.001166,0.030933,0.003539,0.000000,0.000482,0.109052,0.132017,0.007436,0.000000,0.012026,0.004334
Apr_2023,0.232160,0.674485,1.035645,0.434096,0.841911,1.556431,0.205749,0.078861,0.304630,0.137773,0.320433,0.649274,0.972279,0.642841,0.322081,0.245784,0.077160,0.426248,0.280593,0.677029,0.184602,1.320714,0.203949,0.935722,0.646076,0.395498,2.453057,1.304227,0.092167,0.386426,
May_2023,0.655691,0.109665,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.002331,0.019455,0.011176,0.007591,0.000000,0.000000,0.000000,0.000000,0.000000,0.026277,0.055536,0.000000,0.009120,0.033947
Jun_2023,0.439189,0.556040,0.842874,0.839967,0.526434,0.589706,0.434886,0.471177,0.085166,0.714456,0.047073,0.754755,0.000000,0.680765,0.513721,0.581152,0.000000,0.000000,0.352277,0.786534,0.526422,0.792351,0.794814,0.614545,0.817188,0.639683,0.558639,0.630697,0.733674,0.922462,
Jul_2023,0.231965,0.279641,0.110750,0.132893,0.285742,0.241187,0.061418,0.491686,0.198385,0.174399,0.202939,0.184689,0.607766,0.165471,0.218129,0.202889,0.110544,0.058733,0.116577,0.123568,0.265716,0.155214,0.428764,0.036543,0.069153,0.123623,0.643168,0.686614,0.844528,0.246455,0.630285
